,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,81300,361,2,2,1.0,0,0,0,5,2012
0,81300,367,0,1,0.0,0,0,0,6,2012
0,81300,366,0,6,0.0,0,0,0,7,2012
0,81300,366,0,3,0.0,0,0,0,9,2012
0,81300,391,0,2,0.0,0,0,0,10,2012
0,81300,362,0,1,0.0,0,0,1,11,2012
0,81300,432,0,1,0.0,0,0,0,12,2012
0,81591,354,0,1,0.0,0,0,0,2,2012
0,81591,349,1,1,1.0,0,0,0,4,2012
0,81591,361,0,1,0.0,0,0,0,5,2012
0,81591,363,3,3,1.0,0,0,0,8,2012
0,81591,366,2,2,1.0,0,0,0,9,2012
0,81591,391,1,1,1.0,0,0,0,10,2012
0,81736,410,0,3,0.0,0,0,0,1,2012
0,81736,354,0,9,0.0,0,0,0,2,2012
0,81736,362,0,2,0.0,0,0,0,3,2012
0,81736,349,0,7,0.0,0,0,0,4,2012
0,81736,361,1,6,0.16666666666666666,0,0,0,5,2012
0,81736,367,0,8,0.0,0,0,0,6,2012
0,81736,366,0,12,0.0,0,0,0,7,2012
0,81736,363,0,5,0.0,0,0,0,8,2012
0,81736,366,1,7,0.14285714285714285,0,0,0,9,2012
0,81736,391,0,12,0.0,0,0,0,10,2012
0,81736,362,0,3,0.0,0,0,1,11,2012
0,81736,432,1,4,0.25,0,0,0,12,2012
0,81794,410,9,12,0.75,0,0,0,1,2012
0,81794,354,4,11,0.36363636363636365,0,0,0,2,2012
0,81794,362,3,5,0.6,0,0,0,3,2012
0,81794,349,6,10,0.6,0,0,0,4,2012
0,81794,361,4,9,0.4444444444444444,0,0,0,5,2012
0,81794,367,3,12,0.25,0,0,0,6,2012
0,81794,366,4,8,0.5,0,0,0,7,2012
0,81794,363,5,10,0.5,0,0,0,8,2012
0,81794,366,7,14,0.5,0,0,0,9,2012
0,81794,391,6,7,0.8571428571428571,0,0,0,10,2012
0,81794,362,3,12,0.25,0,0,1,11,2012
0,81794,432,2,7,0.2857142857142857,0,0,0,12,2012
0,85001,544,0,3,0.0,0,0,0,4,2012
0,85001,523,0,1,0.0,0,0,0,6,2012
0,85001,613,0,1,0.0,0,0,0,7,2012
0,85001,577,0,2,0.0,0,0,0,10,2012
0,85010,544,0,1,0.0,0,0,0,3,2012
0,85010,544,0,2,0.0,0,0,0,4,2012
0,85010,571,0,1,0.0,0,0,0,5,2012
0,85010,523,0,2,0.0,0,0,0,6,2012
0,85010,613,0,3,0.0,0,0,0,7,2012
0,85015,544,0,1,0.0,0,0,0,3,2012
0,85125,551,0,2,0.0,0,0,0,1,2012
0,85136,544,1,1,1.0,0,0,0,3,2012
0,85139,544,0,1,0.0,0,0,0,4,2012
0,85162,544,1,1,1.0,0,0,0,4,2012
0,85225,544,2,2,1.0,0,0,0,4,2012
0,85230,544,0,1,0.0,0,0,0,4,2012
