,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
333,20400,2008,2,10,0,1,0.0,0,0,0
334,20443,2008,3,5,0,1,0.0,0,0,0
335,20443,2008,9,2,0,1,0.0,0,0,0
336,20517,2008,12,13,0,1,0.0,0,0,0
337,20517,2008,2,12,0,1,0.0,0,0,0
338,20550,2008,4,17,0,1,0.0,0,0,0
339,20550,2008,2,22,0,1,0.0,0,0,0
340,20550,2008,6,16,0,2,0.0,0,0,0
341,20550,2008,11,25,0,1,0.0,0,0,0
342,20570,2008,4,17,0,1,0.0,0,0,0
343,20570,2008,8,8,0,2,0.0,0,0,0
344,20570,2008,2,8,0,1,0.0,0,0,0
345,20570,2008,6,7,0,3,0.0,0,0,0
346,20570,2008,5,9,0,1,0.0,0,0,0
347,20614,2008,4,7,0,1,0.0,0,0,0
348,20614,2008,1,8,0,1,0.0,0,0,0
349,20621,2008,1,14,2,2,1.0,0,0,1
350,20621,2008,3,13,0,1,0.0,0,0,0
351,20710,2008,4,15,0,1,0.0,0,0,0
352,20710,2008,8,25,0,1,0.0,0,0,0
353,20710,2008,1,29,0,1,0.0,0,0,0
354,20710,2008,3,23,0,1,0.0,0,0,0
355,20710,2008,5,21,0,1,0.0,0,0,0
356,20710,2008,11,17,0,1,0.0,0,0,0
357,20710,2008,9,27,0,1,0.0,0,0,0
358,20750,2008,2,10,0,1,0.0,0,0,0
359,20750,2008,7,11,0,3,0.0,0,0,0
360,20750,2008,11,5,1,1,1.0,0,0,0
361,20770,2008,4,20,0,1,0.0,0,0,0
362,20770,2008,11,23,0,1,0.0,0,0,0
363,20770,2008,10,14,0,1,0.0,0,0,0
364,20787,2008,5,11,0,1,0.0,0,0,0
365,20787,2008,11,7,0,1,0.0,0,0,0
366,23001,2008,8,1171,0,1,0.0,0,0,0
367,23001,2008,12,1158,0,3,0.0,0,0,0
368,23001,2008,1,1115,0,8,0.0,0,0,0
369,23001,2008,2,1023,0,1,0.0,0,0,0
370,23001,2008,7,1064,0,3,0.0,0,0,0
371,23001,2008,3,982,0,1,0.0,0,0,0
372,23001,2008,11,1134,0,1,0.0,0,0,0
373,23001,2008,9,1256,0,1,0.0,0,0,0
374,23068,2008,9,37,0,2,0.0,0,0,0
375,23079,2008,1,16,0,1,0.0,0,0,0
376,23079,2008,3,21,0,1,0.0,0,0,0
377,23162,2008,3,65,0,1,0.0,0,0,0
378,23350,2008,7,6,0,1,0.0,0,0,0
379,23350,2008,3,6,0,1,0.0,0,0,0
380,23350,2008,10,7,0,2,0.0,0,0,0
381,23417,2008,7,277,0,1,0.0,0,0,0
