,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
390,50590,2008,2,6,0,2,0,0.0
391,50590,2008,2,6,1,5,5,1.0
392,50590,2008,7,10,1,3,3,1.0
393,50590,2008,11,9,0,1,0,0.0
394,50590,2008,11,9,1,4,4,1.0
395,50683,2008,8,6,0,4,0,0.0
396,50683,2008,8,6,1,1,1,1.0
397,50683,2008,3,7,1,1,1,1.0
398,50689,2008,6,8,1,1,1,1.0
399,50689,2008,3,17,1,1,1,1.0
400,50711,2008,4,25,0,3,0,0.0
401,50711,2008,4,25,1,8,8,1.0
402,50711,2008,8,18,0,5,0,0.0
403,50711,2008,8,18,1,3,3,1.0
404,50711,2008,1,24,0,3,0,0.0
405,50711,2008,1,24,1,3,3,1.0
406,50711,2008,2,11,0,7,0,0.0
407,50711,2008,2,11,1,3,3,1.0
408,50711,2008,7,12,0,2,0,0.0
409,50711,2008,7,12,1,1,1,1.0
410,50711,2008,6,17,0,3,0,0.0
411,50711,2008,6,17,1,6,6,1.0
412,50711,2008,3,12,0,2,0,0.0
413,50711,2008,3,12,1,3,3,1.0
414,50711,2008,5,25,0,8,0,0.0
415,50711,2008,5,25,1,3,3,1.0
416,50711,2008,11,8,0,4,0,0.0
417,50711,2008,11,8,1,1,1,1.0
418,50711,2008,10,19,0,13,0,0.0
419,50711,2008,10,19,1,1,1,1.0
420,50711,2008,9,17,0,1,0,0.0
421,50711,2008,9,17,1,2,2,1.0
422,5120,2008,8,41,1,1,1,1.0
423,5134,2008,3,4,1,1,1,1.0
424,5138,2008,5,11,0,1,0,0.0
425,5138,2008,5,11,1,1,1,1.0
426,5154,2008,10,318,0,8,0,0.0
427,5154,2008,10,318,1,1,1,1.0
428,52001,2008,3,663,0,3,0,0.0
429,52001,2008,3,663,1,1,1,1.0
430,52079,2008,12,28,0,2,0,0.0
431,52079,2008,12,28,1,1,1,1.0
432,52079,2008,1,30,0,5,0,0.0
433,52079,2008,1,30,1,3,3,1.0
434,52079,2008,2,19,0,4,0,0.0
435,52079,2008,2,19,1,3,3,1.0
436,52079,2008,6,24,0,5,0,0.0
437,52079,2008,6,24,1,2,2,1.0
438,52079,2008,10,32,0,1,0,0.0
439,52079,2008,10,32,1,3,3,1.0
440,52079,2008,9,32,0,5,0,0.0
441,52079,2008,9,32,1,4,4,1.0
442,52215,2008,3,6,0,2,0,0.0
443,52215,2008,3,6,1,1,1,1.0
444,52233,2008,5,3,0,3,0,0.0
445,52233,2008,5,3,1,1,1,1.0
446,52233,2008,11,4,0,1,0,0.0
447,52233,2008,11,4,1,1,1,1.0
448,52250,2008,8,7,0,1,0,0.0
449,52250,2008,8,7,1,1,1,1.0
450,52250,2008,7,2,0,1,0,0.0
451,52250,2008,7,2,1,1,1,1.0
452,52250,2008,6,18,1,1,1,1.0
453,52320,2008,11,2,1,1,1,1.0
454,5234,2008,1,20,1,1,1,1.0
455,5234,2008,2,16,0,2,0,0.0
456,5234,2008,2,16,1,1,1,1.0
457,5234,2008,7,15,1,1,1,1.0
458,5234,2008,3,16,0,1,0,0.0
459,5234,2008,3,16,1,2,2,1.0
460,5234,2008,11,26,1,2,2,1.0
461,5234,2008,9,21,1,2,2,1.0
462,52356,2008,3,279,1,1,1,1.0
463,52356,2008,5,248,0,1,0,0.0
464,52356,2008,5,248,1,1,1,1.0
465,52418,2008,7,5,0,2,0,0.0
466,52418,2008,7,5,1,1,1,1.0
467,52418,2008,5,12,1,1,1,1.0
468,52435,2008,2,1,1,2,2,1.0
469,5250,2008,12,43,1,1,1,1.0
470,5250,2008,2,52,0,1,0,0.0
471,5250,2008,2,52,1,1,1,1.0
472,52540,2008,1,9,0,3,0,0.0
473,52540,2008,1,9,1,2,2,1.0
474,52540,2008,11,10,0,5,0,0.0
475,52540,2008,11,10,1,1,1,1.0
476,52540,2008,9,2,1,1,1,1.0
477,52573,2008,3,8,0,1,0,0.0
478,52573,2008,3,8,1,2,2,1.0
479,52573,2008,5,3,1,2,2,1.0
480,52612,2008,8,14,0,2,0,0.0
481,52612,2008,8,14,1,1,1,1.0
482,52612,2008,1,18,1,2,2,1.0
483,52612,2008,3,10,0,2,0,0.0
484,52612,2008,3,10,1,6,6,1.0
485,52612,2008,5,12,0,1,0,0.0
486,52612,2008,5,12,1,1,1,1.0
487,52612,2008,11,11,0,2,0,0.0
488,52612,2008,11,11,1,3,3,1.0
489,52612,2008,10,10,0,1,0,0.0
490,52612,2008,10,10,1,3,3,1.0
491,52621,2008,7,4,1,1,1,1.0
492,52621,2008,11,5,1,1,1,1.0
493,52678,2008,4,41,0,5,0,0.0
494,52678,2008,4,41,1,2,2,1.0
495,52678,2008,2,32,0,8,0,0.0
496,52678,2008,2,32,1,1,1,1.0
497,52678,2008,6,23,0,6,0,0.0
498,52678,2008,6,23,1,1,1,1.0
499,52678,2008,5,32,0,6,0,0.0
500,52678,2008,5,32,1,1,1,1.0
501,52678,2008,11,29,0,1,0,0.0
502,52678,2008,11,29,1,1,1,1.0
503,52678,2008,10,32,0,3,0,0.0
504,52678,2008,10,32,1,1,1,1.0
505,52678,2008,9,35,0,2,0,0.0
506,52678,2008,9,35,1,2,2,1.0
507,52696,2008,11,7,0,1,0,0.0
508,52696,2008,11,7,1,1,1,1.0
509,52699,2008,4,7,0,1,0,0.0
510,52699,2008,4,7,1,1,1,1.0
511,52699,2008,8,2,0,4,0,0.0
512,52699,2008,8,2,1,1,1,1.0
513,52699,2008,7,9,0,2,0,0.0
514,52699,2008,7,9,1,1,1,1.0
515,52699,2008,6,4,0,2,0,0.0
516,52699,2008,6,4,1,1,1,1.0
517,52720,2008,9,1,1,1,1,1.0
518,52835,2008,4,251,0,5,0,0.0
519,52835,2008,4,251,1,1,1,1.0
520,52835,2008,8,331,0,1,0,0.0
521,52835,2008,8,331,1,1,1,1.0
522,52835,2008,12,283,0,6,0,0.0
523,52835,2008,12,283,1,2,2,1.0
524,52835,2008,1,219,0,3,0,0.0
525,52835,2008,1,219,1,5,5,1.0
526,52835,2008,2,242,0,4,0,0.0
527,52835,2008,2,242,1,1,1,1.0
528,52835,2008,6,340,0,7,0,0.0
529,52835,2008,6,340,1,1,1,1.0
530,52835,2008,3,131,0,7,0,0.0
531,52835,2008,3,131,1,1,1,1.0
532,52835,2008,10,321,0,4,0,0.0
533,52835,2008,10,321,1,3,3,1.0
534,5284,2008,10,20,1,1,1,1.0
535,5313,2008,7,4,0,1,0,0.0
536,5313,2008,7,4,1,1,1,1.0
537,5313,2008,6,14,0,1,0,0.0
538,5313,2008,6,14,1,1,1,1.0
539,5360,2008,9,177,0,1,0,0.0
540,5360,2008,9,177,1,1,1,1.0
541,5361,2008,4,15,0,2,0,0.0
542,5361,2008,4,15,1,1,1,1.0
543,5361,2008,8,29,0,7,0,0.0
544,5361,2008,8,29,1,3,3,1.0
545,5361,2008,12,22,1,1,1,1.0
546,5361,2008,1,21,0,6,0,0.0
547,5361,2008,1,21,1,2,2,1.0
548,5361,2008,2,26,0,4,0,0.0
549,5361,2008,2,26,1,6,6,1.0
550,5361,2008,3,20,0,4,0,0.0
551,5361,2008,3,20,1,1,1,1.0
552,54001,2008,6,1237,0,2,0,0.0
553,54001,2008,6,1237,1,1,1,1.0
554,54001,2008,10,1401,0,6,0,0.0
555,54001,2008,10,1401,1,1,1,1.0
556,54174,2008,3,0,1,1,1,1.0
557,54223,2008,11,3,1,1,1,1.0
558,54245,2008,1,10,0,3,0,0.0
559,54245,2008,1,10,1,1,1,1.0
560,54250,2008,2,9,0,1,0,0.0
561,54250,2008,2,9,1,4,4,1.0
562,54344,2008,5,1,0,1,0,0.0
563,54344,2008,5,1,1,1,1,1.0
564,54498,2008,3,238,1,2,2,1.0
565,54720,2008,1,10,0,8,0,0.0
566,54720,2008,1,10,1,1,1,1.0
567,54720,2008,10,13,0,1,0,0.0
568,54720,2008,10,13,1,1,1,1.0
569,5475,2008,4,2,1,1,1,1.0
570,5475,2008,1,2,1,1,1,1.0
571,5480,2008,2,33,0,2,0,0.0
572,5480,2008,2,33,1,2,2,1.0
573,5480,2008,3,33,1,1,1,1.0
574,5480,2008,10,31,1,1,1,1.0
575,54800,2008,8,2,1,1,1,1.0
576,54800,2008,3,0,0,5,0,0.0
